fips_county,state_name,state_acronym,county_name,pop_sum,prevalence_asd_avg,cases_asd_sum,COUNTY,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL,exemption_rate
04001,Arizona,AZ,Apache,20572,0.87497569511958,180.0,Apache,0.926235294117647,0.04405882352941176,0.9866470588235294,0.9288235294117646,0.04288235294117647,0.9873529411764705,0.8997647058823529,0.04288235294117647,0.973,0.949,0.036,0.9866470588235294,0.9500588235294117,0.034823529411764705,0.9849411764705882,0.0451764705882353,0.0027058823529411765,0.019823529411764705,0.02252941176470588
04003,Arizona,AZ,Cochise,29634,2.31828305324965,687.0,Cochise,0.9028461538461539,0.06315384615384616,0.9755384615384616,0.9161538461538462,0.06161538461538462,0.9812307692307692,0.8906923076923078,0.061961538461538464,0.9694230769230768,0.9395,0.05615384615384615,0.9978461538461538,0.9434615384615385,0.05123076923076923,0.9947307692307692,0.06661538461538462,0.0015384615384615385,0.058269230769230775,0.05980769230769231
04005,Arizona,AZ,Coconino,42872,1.0519686508677,451.0,Coconino,0.8842608695652174,0.06604347826086956,0.9516521739130436,0.8906956521739131,0.06569565217391304,0.9570869565217393,0.868,0.06430434782608696,0.9330434782608696,0.9190434782608695,0.05382608695652174,0.9740434782608695,0.9359999999999999,0.04043478260869565,0.9771304347826087,0.07460869565217391,0.005260869565217392,0.04552173913043478,0.05078260869565217
04007,Arizona,AZ,Gila,11004,1.89930934205743,209.0,Gila,0.84575,0.059875000000000005,0.911125,0.876625,0.059375,0.943125,0.7987500000000001,0.07050000000000001,0.871875,0.8694999999999999,0.058125,0.9283750000000001,0.86375,0.052875000000000005,0.9165,0.072625,0.0,0.050625,0.050625
04009,Arizona,AZ,Graham,10974,1.72225259704757,189.0,Graham,0.9006666666666666,0.06566666666666666,0.9897777777777778,0.9125555555555557,0.06566666666666666,0.989,0.9127777777777778,0.06733333333333333,0.9856666666666667,0.9323333333333333,0.05233333333333333,0.9953333333333334,0.9476666666666667,0.04677777777777778,0.9944444444444444,0.06733333333333333,0.006666666666666666,0.05233333333333333,0.059
04011,Arizona,AZ,Greenlee,2599,1.42362447095037,37.0,Greenlee,0.835,0.076,0.911,0.835,0.076,0.911,0.8425,0.076,0.9185000000000001,0.9159999999999999,0.051,0.9664999999999999,0.9229999999999999,0.051,0.974,0.07250000000000001,0.0075,0.065,0.07250000000000001
04012,Arizona,AZ,La Paz,3645,1.81069958847737,66.0,La Paz,0.9465,0.0435,0.9904999999999999,0.9465,0.0435,0.9904999999999999,0.9515,0.0435,0.995,0.9564999999999999,0.0435,1.0,0.9515,0.0435,0.995,0.0435,0.0435,0.0435,0.087
04013,Arizona,AZ,Maricopa,1113694,2.23283954120252,24867.0,Maricopa,0.8791747700394218,0.08105387647831801,0.9734402102496715,0.8846977660972405,0.07974638633377135,0.974592641261498,0.8753876478318002,0.08388830486202366,0.9698239159001315,0.9139868593955321,0.06616162943495402,0.9865269382391589,0.9291156373193167,0.058498028909329834,0.989185282522996,0.09378843626806833,0.005201051248357425,0.057932982917214194,0.06313403416557162
04015,Arizona,AZ,Mohave,37323,2.50783699059561,936.0,Mohave,0.7800666666666667,0.1297,0.9317333333333334,0.7891999999999999,0.12616666666666668,0.9328000000000001,0.7595333333333334,0.13516666666666666,0.9123666666666667,0.8251333333333334,0.11503333333333333,0.9418666666666666,0.8481000000000001,0.10836666666666667,0.9568666666666666,0.14053333333333334,0.008433333333333333,0.11393333333333334,0.12236666666666668
04017,Arizona,AZ,Navajo,30297,1.27405353665379,386.0,Navajo,0.8078,0.10629999999999999,0.9384499999999999,0.82165,0.10629999999999999,0.9425000000000001,0.7974,0.1078,0.94145,0.86745,0.10055,0.9702,0.8651500000000001,0.1068,0.9719,0.1078,0.002,0.09590000000000001,0.09790000000000001
04019,Arizona,AZ,Pima,251442,1.93364672568624,4862.0,Pima,0.9351979166666666,0.037333333333333336,0.9806145833333333,0.9390885416666667,0.03561458333333333,0.9848333333333333,0.92771875,0.040640625,0.977890625,0.958703125,0.030463541666666667,0.99303125,0.9649635416666666,0.028677083333333336,0.9941510416666667,0.05397916666666667,0.0037500000000000003,0.02658854166666667,0.03033854166666667
04021,Arizona,AZ,Pinal,106125,2.50459363957597,2658.0,Pinal,0.8967166666666666,0.06251666666666666,0.9741333333333333,0.9057,0.06043333333333333,0.9765,0.8896333333333334,0.05843333333333334,0.96895,0.9300833333333334,0.0486,0.9846166666666666,0.9419833333333333,0.045083333333333336,0.9891833333333333,0.06703333333333333,0.008266666666666667,0.04131666666666667,0.04958333333333333
04023,Arizona,AZ,Santa Cruz,13150,1.2319391634981,162.0,Santa Cruz,0.957375,0.0269375,0.9958125,0.9641875,0.0265625,1.0,0.9634375000000001,0.0285625,0.9964999999999999,0.9769375,0.015000000000000001,0.9943125,0.9781875,0.0218125,1.0,0.0285625,0.0056875,0.0165,0.0221875
04025,Arizona,AZ,Yavapai,40962,1.97500122064352,809.0,Yavapai,0.7870526315789474,0.16994736842105262,0.9681315789473685,0.786078947368421,0.17205263157894737,0.9719736842105263,0.7523157894736843,0.18747368421052632,0.9600526315789474,0.8308157894736843,0.14978947368421053,0.9825263157894737,0.8489473684210526,0.1363157894736842,0.9856315789473684,0.2156578947368421,0.015842105263157897,0.14657894736842106,0.16242105263157897
04027,Arizona,AZ,Yuma,57662,2.06895355693524,1193.0,Yuma,0.9449333333333333,0.021822222222222222,0.9800444444444445,0.9511555555555555,0.02053333333333333,0.9816888888888889,0.9538222222222221,0.02322222222222222,0.9828,0.9707333333333333,0.018577777777777776,0.9928222222222222,0.9757777777777779,0.01746666666666667,0.9932444444444444,0.042777777777777776,0.007333333333333334,0.014755555555555556,0.02208888888888889
